metric,projector,instance,family,subset,precision,recall,f1
test/macro_types,box_adapter_bert_ms,1,location/geography,10,0.7246549129486084,0.6576988697052002,0.6895553469657898
test_incremental_location-geography-mountain/macro_types,box_adapter_bert_ms,1,location/geography,10,0.3913043439388275,0.6000000238418579,0.4736842215061188
test_pretraining/macro_example,box_adapter_bert_ms,1,location/geography,10,0.8486233949661255,0.8023369312286377,0.8248313665390015
test/macro_example,box_adapter_bert_ms,1,location/geography,10,0.8486233949661255,0.8023369312286377,0.8248313665390015
test_incremental_only/micro,box_adapter_bert_ms,1,location/geography,10,0.31690141558647156,0.5,0.3879310190677643
test_incremental/macro_example,box_adapter_bert_ms,1,location/geography,10,0.012415720149874687,0.020966945216059685,0.015596102923154833
test_pretraining/macro_types,box_adapter_bert_ms,1,location/geography,10,0.7246549129486084,0.6576988697052002,0.6895553469657898
test_incremental/macro_types,box_adapter_bert_ms,1,location/geography,10,0.4879693686962128,0.4861111342906952,0.4870384633541107
test_incremental_only/macro_types,box_adapter_bert_ms,1,location/geography,10,0.3172925114631653,0.5000000596046448,0.38822394609451294
test_incremental_only/macro_example_exclusive,box_adapter_bert_ms,0,location/geography,10,0.5111111402511597,0.5111111402511597,0.5111111402511597
test_incremental/macro_example_exclusive,box_adapter_bert_ms,0,location/geography,10,0.6111111640930176,0.4777778089046478,0.536281168460846
test_incremental_location-geography-island/macro_types,box_adapter_bert_ms,0,location/geography,10,0.05454545468091965,0.30000001192092896,0.0923076942563057
test_incremental_only/macro_example,box_adapter_bert_ms,0,location/geography,10,0.022693634033203125,0.022693634033203125,0.022693634033203125
test_incremental_location-geography-body_of_water/macro_types,box_adapter_bert_ms,0,location/geography,10,0.02139037474989891,0.800000011920929,0.0416666679084301
test_incremental_location-geography/macro_types,box_adapter_bert_ms,0,location/geography,10,1.0,0.4444444477558136,0.6153846383094788
test/micro,box_adapter_bert_ms,0,location/geography,10,0.6068975925445557,0.7887077927589417,0.6859602332115173
test_incremental/micro,box_adapter_bert_ms,0,location/geography,10,0.0430000014603138,0.47777777910232544,0.078899085521698
test_pretraining/micro,box_adapter_bert_ms,0,location/geography,10,0.6068975925445557,0.7887077927589417,0.6859602332115173
test/macro_types,box_adapter_bert_ms,0,location/geography,10,0.7075223922729492,0.6583654880523682,0.6820594072341919
test_incremental_location-geography-mountain/macro_types,box_adapter_bert_ms,0,location/geography,10,0.01931649260222912,0.4333333373069763,0.03698435425758362
test_pretraining/macro_example,box_adapter_bert_ms,0,location/geography,10,0.599676251411438,0.8023368716239929,0.6863593459129333
test/macro_example,box_adapter_bert_ms,0,location/geography,10,0.599676251411438,0.8023368716239929,0.6863593459129333
test_incremental_only/micro,box_adapter_bert_ms,0,location/geography,10,0.02346938848495483,0.5111111402511597,0.04487804695963859
