metric,projector,family,subset,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test_incremental/macro_example_exclusive,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.9777777989705404,0.9277778267860413,0.9520584543546041,0.03848998123903342,0.053575820461097504,0.04635721304010084
test_pretraining/macro_example,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.8115247885386149,0.8601424296696981,0.8351161877314249,0.006084549356408891,0.0014595576213153848,0.002846975117061493
test_incremental_only/macro_example_exclusive,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.9222222566604614,0.9222222566604614,0.9222222566604614,0.10715164092219509,0.10715164092219509,0.10715164092219509
test_incremental_only/macro_types,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.542940358320872,0.9222222169240316,0.6723275581995646,0.12075495092919429,0.10715166255469387,0.08382518557151987
test_incremental_only/macro_example,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.026076028123497963,0.026076028123497963,0.026076028123497963,0.0030297357542914865,0.0030297357542914865,0.0030297357542914865
test_incremental_CONTACT_INFO-url/macro_types,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.542940358320872,0.9222222169240316,0.6723275581995646,0.12075495092919429,0.10715166255469387,0.08382518557151987
test_incremental/micro,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.5795249938964844,0.9277777671813965,0.7097259362538656,0.07694648879590398,0.05357582046109755,0.05066435974305617
test_pretraining/macro_types,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.7968153158823649,0.8846531907717387,0.8384085893630981,0.007103240572628477,0.006303045518111054,0.002637889543153651
test/macro_types,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.7968153158823649,0.8846531907717387,0.8384085893630981,0.007103240572628477,0.006303045518111054,0.002637889543153651
test_incremental_CONTACT_INFO/macro_types,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.6363636255264282,0.9333333373069764,0.7567567229270935,0.0,0.0,0.0
test_incremental_only/micro,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.542940358320872,0.9222222169240316,0.6723275581995646,0.12075495092919429,0.10715166255469387,0.08382518557151987
test/micro,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.7790819406509399,0.8705174525578817,0.8222462932268778,0.007603291005740718,0.0023209785338559144,0.0035502192638833616
test_pretraining/micro,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.7790819406509399,0.8705174525578817,0.8222462932268778,0.007603291005740718,0.0023209785338559144,0.0035502192638833616
test_incremental/macro_types,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.5896520018577576,0.9277777870496114,0.7184133529663086,0.0603774814984142,0.05357584209359963,0.036530102695102644
test_incremental/macro_example,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.02764687252541383,0.026233113060394924,0.026919653018315632,0.0010883131410411077,0.0015148684083008462,0.0013107604545840286
test/macro_example,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.8158707420031229,0.859828253587087,0.8372725447018942,0.0004534569082922836,0.0020014236443202872,0.001187473143733157
test_incremental/macro_example_exclusive,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.9777777989705404,0.9166667064030966,0.9459710121154785,0.03848998123903342,0.07264831481406207,0.056863127986596144
test_pretraining/macro_example,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.8158707420031229,0.859828253587087,0.8372725447018942,0.0004534569082922836,0.0020014236443202872,0.001187473143733157
test_incremental_only/macro_example_exclusive,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.9000000158945719,0.9000000158945719,0.9000000158945719,0.14529662962812417,0.14529662962812417,0.14529662962812417
test_incremental_only/macro_types,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.6432670553525289,0.899999996026357,0.746684710184733,0.004497605144758576,0.14529661595388085,0.05133992723510218
test_incremental_only/macro_example,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.02544769023855527,0.02544769023855527,0.02544769023855527,0.004108292227954995,0.004108292227954995,0.004108292227954995
test_incremental_CONTACT_INFO-url/macro_types,no_init_kenn_hybrid_adapter_bert_ms,CONTACT_INFO,10,0.6432670553525289,0.899999996026357,0.746684710184733,0.004497605144758576,0.14529661595388085,0.05133992723510218
