metric,projector,instance,family,subset,precision,recall,f1,epoch
test_pretraining/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.7582839727401733,0.6503655910491943,0.7001909017562866,53
test_incremental_only/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.016773555427789688,0.016773555427789688,0.016773555427789688,53
test_incremental_only/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.9189189076423644,0.3777777850627899,0.5354330539703369,53
test_incremental_only/macro_example_exclusive,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.3777778148651123,0.3777778148651123,0.3777778148651123,53
test/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.7582839727401733,0.6503655910491943,0.7001909017562866,53
test_incremental/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.9610389471054076,0.41111111640930176,0.5758755207061768,53
test_incremental_location-geography-mountain/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.800000011920929,0.2666666805744171,0.4000000059604645,53
test/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.8487958312034607,0.7863795161247253,0.8163964152336121,53
test_pretraining/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.8487958312034607,0.7863795161247253,0.8163964152336121,53
test_incremental/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.9083333015441896,0.39444446563720703,0.5500355362892151,53
test_incremental_location-geography-body_of_water/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,1.0,0.699999988079071,0.8235293626785278,53
test_incremental/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.02170695550739765,0.018253576010465625,0.019831044599413872,53
test/macro_example,smart_init_box_adapter_bert_ms,2,location/geography,10,0.8356238603591919,0.8048036098480225,0.8199242353439331,6
test_incremental/macro_example_exclusive,smart_init_box_adapter_bert_ms,2,location/geography,10,0.29629629850387573,0.5555555820465088,0.3864734172821045,6
test_pretraining/macro_example,smart_init_box_adapter_bert_ms,2,location/geography,10,0.8356238603591919,0.8048036098480225,0.8199242353439331,6
test_incremental_location-geography-island/macro_types,smart_init_box_adapter_bert_ms,2,location/geography,10,0.1855670064687729,0.6000000238418579,0.28346455097198486,6
test_incremental_location-geography/macro_types,smart_init_box_adapter_bert_ms,2,location/geography,10,1.0,0.4444444477558136,0.6153846383094788,6
test_incremental_only/macro_types,smart_init_box_adapter_bert_ms,2,location/geography,10,0.20618556439876556,0.6666666865348816,0.31496062874794006,6
test_pretraining/macro_types,smart_init_box_adapter_bert_ms,2,location/geography,10,0.7179884314537048,0.667698860168457,0.6919310688972473,6
test_incremental_only/macro_example,smart_init_box_adapter_bert_ms,2,location/geography,10,0.009866797365248203,0.029600393027067184,0.014800196513533592,6
test_incremental_only/micro,smart_init_box_adapter_bert_ms,2,location/geography,10,0.20618556439876556,0.6666666865348816,0.31496062874794006,6
test_incremental_only/macro_example_exclusive,smart_init_box_adapter_bert_ms,2,location/geography,10,0.2222222238779068,0.6666667461395264,0.3333333432674408,6
test/macro_types,smart_init_box_adapter_bert_ms,2,location/geography,10,0.7179884314537048,0.667698860168457,0.6919310688972473,6
test_incremental/micro,smart_init_box_adapter_bert_ms,2,location/geography,10,0.3021148145198822,0.5555555820465088,0.3913894295692444,6
test_incremental_location-geography-mountain/macro_types,smart_init_box_adapter_bert_ms,2,location/geography,10,0.19587628543376925,0.6333333253860474,0.29921257495880127,6
test/micro,smart_init_box_adapter_bert_ms,2,location/geography,10,0.811095654964447,0.7914241552352905,0.8011391758918762,6
test_pretraining/micro,smart_init_box_adapter_bert_ms,2,location/geography,10,0.811095654964447,0.7914241552352905,0.8011391758918762,6
test_incremental/macro_types,smart_init_box_adapter_bert_ms,2,location/geography,10,0.4046391546726227,0.6111111044883728,0.4868902862071991,6
test_incremental_location-geography-body_of_water/macro_types,smart_init_box_adapter_bert_ms,2,location/geography,10,0.23711340129375455,0.7666666507720947,0.36220473051071167,6
test_incremental/macro_example,smart_init_box_adapter_bert_ms,2,location/geography,10,0.013155730441212654,0.02466699481010437,0.01715965010225773,6
test/macro_example,smart_init_box_adapter_bert_ms,1,location/geography,10,0.8044535517692566,0.8075580596923828,0.8060027956962585,11
test_incremental/macro_example_exclusive,smart_init_box_adapter_bert_ms,1,location/geography,10,0.3592592477798462,0.6500000953674316,0.4627523124217987,11
test_pretraining/macro_example,smart_init_box_adapter_bert_ms,1,location/geography,10,0.8044535517692566,0.8075580596923828,0.8060027956962585,11
test_incremental_location-geography-island/macro_types,smart_init_box_adapter_bert_ms,1,location/geography,10,0.08712121099233627,0.7666666507720947,0.15646259486675262,11
test_incremental_location-geography/macro_types,smart_init_box_adapter_bert_ms,1,location/geography,10,1.0,0.4444444477558136,0.6153846383094788,11
test_incremental_only/macro_types,smart_init_box_adapter_bert_ms,1,location/geography,10,0.09800592809915544,0.8555556535720825,0.1758659929037094,11
test_pretraining/macro_types,smart_init_box_adapter_bert_ms,1,location/geography,10,0.7114976644515991,0.6790322065353394,0.6948859691619873,11
test_incremental_only/macro_example,smart_init_box_adapter_bert_ms,1,location/geography,10,0.012662390246987345,0.03798717260360718,0.01899358630180359,11
test_incremental_only/micro,smart_init_box_adapter_bert_ms,1,location/geography,10,0.09796437621116638,0.855555534362793,0.17579908668994904,11
